example_id,exclusion_reason,source_files
5a8e8fc75542990e94052b57,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab1ce395542997061209579,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab29b23554299706120966c,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab2b89d554299166977406e,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab2c4ef55429916697740af,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab30329554299166977417b,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab39701554299233954ff5e,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab433675542991751b4d6e6,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab5141a5542991779162d70,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab53b48554299488d4d9919,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab70446554299110f219a94,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab728e45542992aa3b8c7b4,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab90c2655429916710eb0ed,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ab9121555429919ba4e238a,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5abad3395542996cc5e49e9f,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5abae52a5542996cc5e49eea,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5abc2e3d554299114383a0f6,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5abc53ed5542996583600443,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5abeed7e5542993fe9a41da0,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ac0f7ac554299012d1db666,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ac3bf5e5542995ef918c20f,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5adc8fd45542994ed6169b8e,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ade2af055429939a52fe84b,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5adecc6355429975fa854f9c,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae092fe554299603e418427,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae0fcb855429945ae959492,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae126f555429901ffe4adc9,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae3b4d05542992f92d82349,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae64cab5542991bbc9760be,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae64cbf5542992ae0d162c1,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae7a9c8554299540e5a5631,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx
5ae80b50554299540e5a5701,exposed held-out prediction was inspected during development,heldout50_direct_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_noyear_qwen3_8b_no_thinking.xlsx;heldout50_selective_qdev_v3_qwen3_8b_no_thinking.xlsx

